Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
クーポン,クーポン,クーポン,クーポン,名詞,普通名詞,一般,*,*,*,False,*,*
広告掲載,広告掲載,コウコクケイサイ,広告掲載,名詞,普通名詞,一般,*,*,*,False,広告-掲載,広告-掲載
運営,運営,ウンエイ,運営,名詞,普通名詞,サ変可能,*,*,*,False,*,*
報告,報告,ホウコク,報告,名詞,普通名詞,サ変可能,*,*,*,False,*,*
アクセス解析,アクセス解析,アクセスカイセキ,アクセス解析,名詞,固有名詞,一般,*,*,*,False,アクセス-解析,アクセス-解析
メディア,メディア,メディア,メディア,名詞,普通名詞,一般,*,*,*,False,*,*
出演,出演,シュツエン,出演,名詞,普通名詞,サ変可能,*,*,*,False,*,*
情報,情報,ジョウホウ,情報,名詞,普通名詞,一般,*,*,*,False,*,*
姫路,姫路,ヒメジ,姫路,名詞,固有名詞,地名,一般,*,*,False,*,*
種,種,シュ,種,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
グッズ,グッズ,グッズ,グッズ,名詞,普通名詞,一般,*,*,*,False,*,*
情報提供,情報提供,ジョウホウテイキョウ,情報提供,名詞,普通名詞,サ変可能,*,*,*,False,情報-提供,情報-提供
開店,開店,カイテン,開店,名詞,普通名詞,サ変可能,*,*,*,False,*,*
閉店,閉店,ヘイテン,閉店,名詞,普通名詞,サ変可能,*,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
パン屋,パン屋,パンヤ,パン屋,名詞,普通名詞,一般,*,*,*,False,*,パン-屋
さん,さん,サン,さん,接尾辞,名詞的,一般,*,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
カフェ,カフェ,カフェ,カフェ,名詞,普通名詞,一般,*,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
スイーツ,スイーツ,スイーツ,スイーツ,名詞,普通名詞,一般,*,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
ランチ,ランチ,ランチ,ランチ,名詞,普通名詞,一般,*,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
ワンコイン,ワンコイン,ワンコイン,ワンコイン,名詞,普通名詞,一般,*,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
ラーメン,ラーメン,ラーメン,ラーメン,名詞,普通名詞,一般,*,*,*,False,*,*
餃子,ギョーザ,ギョーザ,餃子,名詞,普通名詞,一般,*,*,*,False,*,*
中華,中華,チュウカ,中華,名詞,固有名詞,地名,国,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
うどん,饂飩,ウドン,うどん,名詞,普通名詞,一般,*,*,*,False,*,*
そば,そば,ソバ,そば,名詞,普通名詞,一般,*,*,*,False,*,*
和食,和食,ワショク,和食,名詞,普通名詞,一般,*,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
粉物,粉物,コナモノ,粉物,名詞,普通名詞,一般,*,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
肉,肉,ニク,肉,名詞,普通名詞,一般,*,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
魚,魚,サカナ,魚,名詞,普通名詞,一般,*,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
鳥,鳥,トリ,鳥,名詞,普通名詞,一般,*,*,*,False,*,*
料理,料理,リョウリ,料理,名詞,普通名詞,サ変可能,*,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
呑み屋,飲み屋,ノミヤ,呑み屋,名詞,普通名詞,一般,*,*,*,False,*,*
さん,さん,サン,さん,接尾辞,名詞的,一般,*,*,*,False,*,*
グルメ,グルメ,グルメ,グルメ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
おやつ,御八つ,オヤツ,おやつ,名詞,普通名詞,一般,*,*,*,False,*,*
公園,公園,コウエン,公園,名詞,普通名詞,一般,*,*,*,False,*,*
イベント,イベント,イベント,イベント,名詞,普通名詞,一般,*,*,*,False,*,*
イベント,イベント,イベント,イベント,名詞,普通名詞,一般,*,*,*,False,*,*
いっ,言う,イッ,いう,動詞,一般,*,*,五段-ワア行,連用形-促音便,False,*,*
き,来る,キ,くる,動詞,非自立可能,*,*,カ行変格,連用形-一般,False,*,*
お店,御店,オミセ,お店,名詞,普通名詞,一般,*,*,*,False,*,お-店
紹介,紹介,ショウカイ,紹介,名詞,普通名詞,サ変可能,*,*,*,False,*,*
姫路,姫路,ヒメジ,姫路,名詞,固有名詞,地名,一般,*,*,False,*,*
種,種,シュ,種,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
探偵団,探偵団,タンテイダン,探偵団,名詞,普通名詞,一般,*,*,*,False,*,探偵-団
まとめ,纏め,マトメ,まとめ,名詞,普通名詞,一般,*,*,*,False,*,*
話題,話題,ワダイ,話題,名詞,普通名詞,一般,*,*,*,False,*,*
街,街,マチ,街,名詞,普通名詞,一般,*,*,*,False,*,*
動き,動き,ウゴキ,動き,名詞,普通名詞,一般,*,*,*,False,*,*
ニュース,ニュース,ニュース,ニュース,名詞,普通名詞,一般,*,*,*,False,*,*
スポーツ,スポーツ,スポーツ,スポーツ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
テレビ,テレビ,テレビ,テレビ,名詞,普通名詞,一般,*,*,*,False,*,*
フォト,フォト,フォト,フォト,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
役立ち,役立つ,ヤクダチ,役立つ,動詞,一般,*,*,五段-タ行,連用形-一般,False,*,*
情報,情報,ジョウホウ,情報,名詞,普通名詞,一般,*,*,*,False,*,*
お知らせ,お知らせ,オシラセ,お知らせ,名詞,普通名詞,サ変可能,*,*,*,False,*,お-知らせ
おしらせ,お知らせ,オシラセ,おしらせ,名詞,普通名詞,サ変可能,*,*,*,False,*,お-しらせ
音楽,音楽,オンガク,音楽,名詞,普通名詞,一般,*,*,*,False,*,*
動物,動物,ドウブツ,動物,名詞,普通名詞,一般,*,*,*,False,*,*
姫路,姫路,ヒメジ,姫路,名詞,固有名詞,地名,一般,*,*,False,*,*
種,種,シュ,種,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
得,得,トク,得,名詞,普通名詞,一般,*,*,*,False,*,*
情報,情報,ジョウホウ,情報,名詞,普通名詞,一般,*,*,*,False,*,*
企画,企画,キカク,企画,名詞,普通名詞,サ変可能,*,*,*,False,*,*
今日,今日,キョウ,今日,名詞,普通名詞,副詞可能,*,*,*,False,*,*
姫路城,姫路城,ヒメジジョウ,姫路城,名詞,固有名詞,一般,*,*,*,False,*,姫路-城
なる,成る,ナル,なる,動詞,非自立可能,*,*,五段-ラ行,連体形-一般,False,*,*
もの,物,モノ,もの,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ヒメジマン,ヒメジマン,ヒメジマン,ヒメジマン,名詞,普通名詞,一般,*,*,*,False,*,*
謎,謎,ナゾ,謎,名詞,普通名詞,一般,*,*,*,False,*,*
姫路,姫路,ヒメジ,姫路,名詞,固有名詞,地名,一般,*,*,False,*,*
種,種,シュ,種,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
応援団,応援団,オウエンダン,応援団,名詞,普通名詞,一般,*,*,*,False,*,応援-団
ひめ,ひめ,ヒメ,ひめ,名詞,固有名詞,人名,名,*,*,False,*,*
じ,じ,ジ,じ,接尾辞,名詞的,一般,*,*,*,False,*,*
美人,美人,ビジン,美人,名詞,普通名詞,一般,*,*,*,False,*,*
姫路,姫路,ヒメジ,姫路,名詞,固有名詞,地名,一般,*,*,False,*,*
種,種,シュ,種,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
探偵団,探偵団,タンテイダン,探偵団,名詞,普通名詞,一般,*,*,*,False,*,探偵-団
クイズ,クイズ,クイズ,クイズ,名詞,普通名詞,一般,*,*,*,False,*,*
著名人,著名人,チョメイジン,著名人,名詞,固有名詞,一般,*,*,*,False,*,*
ブドウ,葡萄,ブドウ,ブドウ,名詞,普通名詞,一般,*,*,*,False,*,*
RC,RC,アールシー,RC,名詞,普通名詞,一般,*,*,*,False,*,*
一万,10000,イチマン,一万,名詞,数詞,*,*,*,*,True,*,*
人,人,ニン,人,接尾辞,名詞的,一般,*,*,*,False,*,*
似顔絵,似顔絵,ニガオエ,似顔絵,名詞,普通名詞,一般,*,*,*,False,*,似顔-絵
描く,描く,エガク,描く,動詞,一般,*,*,五段-カ行,連体形-一般,False,*,*
伝説,伝説,デンセツ,伝説,名詞,普通名詞,一般,*,*,*,False,*,*
クイズ,クイズ,クイズ,クイズ,名詞,普通名詞,一般,*,*,*,False,*,*
観光,観光,カンコウ,観光,名詞,普通名詞,サ変可能,*,*,*,False,*,*
お出かけ,お出掛け,オデカケ,お出かけ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ビュー,ビュー,ビュー,ビュー,名詞,普通名詞,一般,*,*,*,False,*,*
スポット,スポット,スポット,スポット,名詞,普通名詞,一般,*,*,*,False,*,*
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
土産,土産,ミヤゲ,土産,名詞,普通名詞,一般,*,*,*,False,*,*
おでかけ,お出掛け,オデカケ,おでかけ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
宣伝,宣伝,センデン,宣伝,名詞,普通名詞,サ変可能,*,*,*,False,*,*
部,部,ブ,部,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
クーポン,クーポン,クーポン,クーポン,名詞,普通名詞,一般,*,*,*,False,*,*
PR,PR,ピーアール,PR,名詞,普通名詞,サ変可能,*,*,*,False,*,*
クーポン,クーポン,クーポン,クーポン,名詞,普通名詞,一般,*,*,*,False,*,*
広告掲載,広告掲載,コウコクケイサイ,広告掲載,名詞,普通名詞,一般,*,*,*,False,広告-掲載,広告-掲載
運営,運営,ウンエイ,運営,名詞,普通名詞,サ変可能,*,*,*,False,*,*
報告,報告,ホウコク,報告,名詞,普通名詞,サ変可能,*,*,*,False,*,*
アクセス解析,アクセス解析,アクセスカイセキ,アクセス解析,名詞,固有名詞,一般,*,*,*,False,アクセス-解析,アクセス-解析
メディア,メディア,メディア,メディア,名詞,普通名詞,一般,*,*,*,False,*,*
出演,出演,シュツエン,出演,名詞,普通名詞,サ変可能,*,*,*,False,*,*
情報,情報,ジョウホウ,情報,名詞,普通名詞,一般,*,*,*,False,*,*
姫路,姫路,ヒメジ,姫路,名詞,固有名詞,地名,一般,*,*,False,*,*
種,種,シュ,種,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
グッズ,グッズ,グッズ,グッズ,名詞,普通名詞,一般,*,*,*,False,*,*
情報提供,情報提供,ジョウホウテイキョウ,情報提供,名詞,普通名詞,サ変可能,*,*,*,False,情報-提供,情報-提供
search,サーチ,サーチ,Search,名詞,普通名詞,一般,*,*,*,False,*,*
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
注意事項,注意事項,チュウイジコウ,注意事項,名詞,普通名詞,一般,*,*,*,False,注意-事項,注意-事項
個人情報保護,個人情報保護,コジンジョウホウホゴ,個人情報保護,名詞,普通名詞,一般,*,*,*,False,個人-情報-保護,個人-情報-保護
方針,方針,ホウシン,方針,名詞,普通名詞,一般,*,*,*,False,*,*
制定,制定,セイテイ,制定,名詞,普通名詞,サ変可能,*,*,*,False,*,*
日,日,ニチ,日,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
2019,2019,ニレイイチキュウ,2019,名詞,数詞,*,*,*,*,True,*,*
年,年,ネン,年,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
4,4,シ,4,名詞,数詞,*,*,*,*,False,*,*
月,月,ガツ,月,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
22,22,ニニ,22,名詞,数詞,*,*,*,*,True,*,*
日,日,ニチ,日,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
最終,最終,サイシュウ,最終,名詞,普通名詞,一般,*,*,*,False,*,*
改訂,改訂,カイテイ,改訂,名詞,普通名詞,サ変可能,*,*,*,False,*,*
日,日,ニチ,日,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
2019,2019,ニレイイチキュウ,2019,名詞,数詞,*,*,*,*,True,*,*
年,年,ネン,年,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
12,12,イチニ,12,名詞,数詞,*,*,*,*,True,*,*
月,月,ガツ,月,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
15,15,イチイツ,15,名詞,数詞,*,*,*,*,True,*,*
日,日,カ,日,接尾辞,名詞的,助数詞,*,*,*,False,*,*
代表者名,代表者名,ダイヒョウシャメイ,代表者名,名詞,普通名詞,一般,*,*,*,False,代表者-名,代表-者-名
ブドウ,葡萄,ブドウ,ブドウ,名詞,普通名詞,一般,*,*,*,False,*,*
ちゃん,ちゃん,チャン,ちゃん,接尾辞,名詞的,一般,*,*,*,False,*,*
河嶋,河嶋,カワシマ,河嶋,名詞,固有名詞,人名,姓,*,*,False,*,*
直彦,直彦,ナオヒコ,直彦,名詞,固有名詞,人名,名,*,*,False,*,*
OFFICE,オフィス,オフィス,Office,名詞,普通名詞,一般,*,*,*,False,*,*
ブドウ,葡萄,ブドウ,ブドウ,名詞,普通名詞,一般,*,*,*,False,*,*
工房,工房,コウボウ,工房,名詞,普通名詞,一般,*,*,*,False,*,*
以下,以下,イカ,以下,名詞,普通名詞,一般,*,*,*,False,*,*
当社,当社,トウシャ,当社,名詞,普通名詞,一般,*,*,*,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
お客様,御客様,オキャクサマ,お客様,名詞,普通名詞,一般,*,*,*,False,*,お-客-様
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
預かり,預かる,アズカリ,預かる,動詞,一般,*,*,五段-ラ行,連用形-一般,False,*,*
する,為る,スル,する,動詞,非自立可能,*,*,サ行変格,終止形-一般,False,*,*
あたり,当たる,アタリ,あたる,動詞,一般,*,*,五段-ラ行,連用形-一般,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
以下,以下,イカ,以下,名詞,普通名詞,一般,*,*,*,False,*,*
とおり,通り,トオリ,とおり,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
個人情報保護,個人情報保護,コジンジョウホウホゴ,個人情報保護,名詞,普通名詞,一般,*,*,*,False,個人-情報-保護,個人-情報-保護
方針,方針,ホウシン,方針,名詞,普通名詞,一般,*,*,*,False,*,*
定め,定める,サダメ,定める,動詞,一般,*,*,下一段-マ行,連用形-一般,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
個人情報保護,個人情報保護,コジンジョウホウホゴ,個人情報保護,名詞,普通名詞,一般,*,*,*,False,個人-情報-保護,個人-情報-保護
仕組み,仕組み,シクミ,仕組み,名詞,普通名詞,一般,*,*,*,False,*,*
構築,構築,コウチク,構築,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
当社,当社,トウシャ,当社,名詞,普通名詞,一般,*,*,*,False,*,*
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
関する,関する,カンスル,関する,動詞,一般,*,*,サ行変格,連体形-一般,False,*,*
法令,法令,ホウレイ,法令,名詞,普通名詞,一般,*,*,*,False,*,*
遵守,順守,ジュンシュ,遵守,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
個人情報保護,個人情報保護,コジンジョウホウホゴ,個人情報保護,名詞,普通名詞,一般,*,*,*,False,個人-情報-保護,個人-情報-保護
重要性,重要性,ジュウヨウセイ,重要性,名詞,普通名詞,一般,*,*,*,False,*,重要-性
認識,認識,ニンシキ,認識,名詞,普通名詞,サ変可能,*,*,*,False,*,*
取組み,取り組み,トリクミ,取組み,名詞,普通名詞,一般,*,*,*,False,*,*
徹底,徹底,テッテイ,徹底,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
適切,適切,テキセツ,適切,形状詞,一般,*,*,*,*,False,*,*
取扱い,取り扱い,トリアツカイ,取扱い,名詞,普通名詞,一般,*,*,*,False,*,*
保護,保護,ホゴ,保護,名詞,普通名詞,サ変可能,*,*,*,False,*,*
推進,推進,スイシン,推進,名詞,普通名詞,サ変可能,*,*,*,False,*,*
致し,致す,イタシ,致す,動詞,非自立可能,*,*,五段-サ行,連用形-一般,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
