Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
個人情報保護,個人情報保護,コジンジョウホウホゴ,個人情報保護,名詞,普通名詞,一般,*,*,*,False,個人-情報-保護,個人-情報-保護
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
｜,|,キゴウ,|,補助記号,一般,*,*,*,*,False,*,*
化粧品,化粧品,ケショウヒン,化粧品,名詞,普通名詞,一般,*,*,*,False,*,化粧-品
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
スキンケア,スキンケア,スキンケア,スキンケア,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
基礎化粧品,基礎化粧品,キソケショウヒン,基礎化粧品,名詞,普通名詞,一般,*,*,*,False,基礎-化粧品,基礎-化粧-品
通販,通販,ツウハン,通販,名詞,普通名詞,一般,*,*,*,False,*,*
｜,|,キゴウ,|,補助記号,一般,*,*,*,*,False,*,*
オルビス,オルビス,オルビス,オルビス,名詞,固有名詞,一般,*,*,*,False,*,*
公式,公式,コウシキ,公式,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
オンライン,オンライン,オンライン,オンライン,名詞,普通名詞,一般,*,*,*,False,*,*
ショップ,ショップ,ショップ,ショップ,名詞,普通名詞,一般,*,*,*,False,*,*
初回,初回,ショカイ,初回,名詞,普通名詞,一般,*,*,*,False,*,*
購入特典,購入特典,コウニュウトクテン,購入特典,名詞,固有名詞,一般,*,*,*,False,購入-特典,購入-特典
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*
品,品,ヒン,品,接尾辞,名詞的,一般,*,*,*,False,*,*
送料,送料,ソウリョウ,送料,名詞,普通名詞,一般,*,*,*,False,*,*
無料,無料,ムリョウ,無料,名詞,普通名詞,一般,*,*,*,False,*,*
（,(,キゴウ,(,補助記号,括弧開,*,*,*,*,False,*,*
当社,当社,トウシャ,当社,名詞,普通名詞,一般,*,*,*,False,*,*
負担,負担,フタン,負担,名詞,普通名詞,サ変可能,*,*,*,False,*,*
),),キゴウ,),補助記号,括弧閉,*,*,*,*,False,*,*
新規,新規,シンキ,新規,形状詞,一般,*,*,*,*,False,*,*
会員登録,会員登録,カイイントウロク,会員登録,名詞,普通名詞,サ変可能,*,*,*,False,会員-登録,会員-登録
ログイン,ログイン,ログイン,ログイン,名詞,普通名詞,サ変可能,*,*,*,False,*,*
商品,商品,ショウヒン,商品,名詞,普通名詞,一般,*,*,*,False,*,*
点数,点数,テンスウ,点数,名詞,普通名詞,一般,*,*,*,False,*,*
点,点,テン,点,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
合計金額,合計金額,ゴウケイキンガク,合計金額,名詞,普通名詞,一般,*,*,*,False,合計-金額,合計-金額
円,円,エン,円,名詞,普通名詞,一般,*,*,*,False,*,*
初回,初回,ショカイ,初回,名詞,普通名詞,一般,*,*,*,False,*,*
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*
点,点,テン,点,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
送料,送料,ソウリョウ,送料,名詞,普通名詞,一般,*,*,*,False,*,*
無料,無料,ムリョウ,無料,名詞,普通名詞,一般,*,*,*,False,*,*
◇,◇,キゴウ,◇,補助記号,一般,*,*,*,*,False,*,*
最短,最短,サイタン,最短,名詞,普通名詞,一般,*,*,*,False,*,*
次の日,次の日,ツギノヒ,次の日,名詞,普通名詞,一般,*,*,*,False,次-の-日,次-の-日
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
届け,届ける,トドケ,届ける,動詞,一般,*,*,下一段-カ行,連用形-一般,False,*,*
◇,◇,キゴウ,◇,補助記号,一般,*,*,*,*,False,*,*
30,30,サンレイ,30,名詞,数詞,*,*,*,*,True,*,*
日間,日間,ニチカン,日間,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
返品,返品,ヘンピン,返品,名詞,普通名詞,サ変可能,*,*,*,False,*,*
OK,OK,オーケー,OK,名詞,普通名詞,サ変可能,*,*,*,False,*,*
!,!,!,!,補助記号,句点,*,*,*,*,False,*,*
送料,送料,ソウリョウ,送料,名詞,普通名詞,一般,*,*,*,False,*,*
無料,無料,ムリョウ,無料,名詞,普通名詞,一般,*,*,*,False,*,*
ポイント還元率,ポイント還元率,ポイントカンゲンリツ,ポイント還元率,名詞,普通名詞,一般,*,*,*,False,ポイント-還元率,ポイント-還元-率
%,%,キゴウ,%,補助記号,一般,*,*,*,*,False,*,*
3,3,サン,3,名詞,数詞,*,*,*,*,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
300,300,サンレイレイ,300,名詞,数詞,*,*,*,*,True,*,*
円,円,エン,円,名詞,普通名詞,一般,*,*,*,False,*,*
以上,以上,イジョウ,以上,名詞,普通名詞,副詞可能,*,*,*,False,*,*
送料,送料,ソウリョウ,送料,名詞,普通名詞,一般,*,*,*,False,*,*
無料,無料,ムリョウ,無料,名詞,普通名詞,一般,*,*,*,False,*,*
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*
2,2,ニ,2,名詞,数詞,*,*,*,*,False,*,*
カート,カート,カート,カート,名詞,普通名詞,一般,*,*,*,False,*,*
見る,見る,ミル,見る,動詞,非自立可能,*,*,上一段-マ行,終止形-一般,False,*,*
オルビス,オルビス,オルビス,オルビス,名詞,固有名詞,一般,*,*,*,False,*,*
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
店舗,店舗,テンポ,店舗,名詞,普通名詞,一般,*,*,*,False,*,*
情報,情報,ジョウホウ,情報,名詞,普通名詞,一般,*,*,*,False,*,*
商品,商品,ショウヒン,商品,名詞,普通名詞,一般,*,*,*,False,*,*
番号,番号,バンゴウ,番号,名詞,普通名詞,一般,*,*,*,False,*,*
注文,注文,チュウモン,注文,名詞,普通名詞,サ変可能,*,*,*,False,*,*
無料,無料,ムリョウ,無料,名詞,普通名詞,一般,*,*,*,False,*,*
サンプル,サンプル,サンプル,サンプル,名詞,普通名詞,一般,*,*,*,False,*,*
探す,探す,サガス,探す,動詞,一般,*,*,五段-サ行,終止形-一般,False,*,*
みんな,皆,ミンナ,みんな,名詞,普通名詞,副詞可能,*,*,*,False,*,*
クチコミ,口コミ,クチコミ,クチコミ,名詞,普通名詞,一般,*,*,*,False,*,*
ショッピング,ショッピング,ショッピング,ショッピング,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ガイド,ガイド,ガイド,ガイド,名詞,普通名詞,サ変可能,*,*,*,False,*,*
お客様,御客様,オキャクサマ,お客様,名詞,普通名詞,一般,*,*,*,False,*,お-客-様
サポート,サポート,サポート,サポート,名詞,普通名詞,サ変可能,*,*,*,False,*,*
検索,検索,ケンサク,検索,名詞,普通名詞,サ変可能,*,*,*,False,*,*
新商品,新商品,シンショウヒン,新商品,名詞,普通名詞,一般,*,*,*,False,*,新-商品
新商品,新商品,シンショウヒン,新商品,名詞,普通名詞,一般,*,*,*,False,*,新-商品
6,6,ロク,6,名詞,数詞,*,*,*,*,False,*,*
/,/,キゴウ,/,補助記号,一般,*,*,*,*,False,*,*
20,20,ニレイ,20,名詞,数詞,*,*,*,*,True,*,*
新着,新着,シンチャク,新着,名詞,普通名詞,一般,*,*,*,False,*,*
POA,POA,ポア,POA,名詞,固有名詞,一般,*,*,*,False,*,*
-,-,-,-,補助記号,一般,*,*,*,*,False,*,*
TULU,tulu,tulu,tulu,名詞,普通名詞,一般,*,*,*,True,*,*
ブラック,ブラック,ブラック,ブラック,名詞,普通名詞,一般,*,*,*,False,*,*
パウダー,パウダー,パウダー,パウダー,名詞,普通名詞,一般,*,*,*,False,*,*
ウォッシュ,ウォッシュ,ウォッシュ,ウォッシュ,名詞,普通名詞,一般,*,*,*,False,*,*
NEW,ニュー,ニュー,New,名詞,普通名詞,一般,*,*,*,False,*,*
キャンペーン,キャンペーン,キャンペーン,キャンペーン,名詞,普通名詞,一般,*,*,*,False,*,*
サンプル,サンプル,サンプル,サンプル,名詞,普通名詞,一般,*,*,*,False,*,*
ヘレナス,ヘレナス,ヘレナス,ヘレナス,名詞,普通名詞,一般,*,*,*,True,*,*
ピュア,ピュア,ピュア,ピュア,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
スキン,スキン,スキン,スキン,名詞,普通名詞,一般,*,*,*,False,*,*
クレイ,クレー,クレイ,クレイ,名詞,普通名詞,一般,*,*,*,False,*,*
クレンザー,クレンザー,クレンザー,クレンザー,名詞,普通名詞,一般,*,*,*,False,*,*
NEW,ニュー,ニュー,New,名詞,普通名詞,一般,*,*,*,False,*,*
キャンペーン,キャンペーン,キャンペーン,キャンペーン,名詞,普通名詞,一般,*,*,*,False,*,*
ビタエンリッチ,ビタエンリッチ,ビタエンリッチ,ビタエンリッチ,名詞,普通名詞,一般,*,*,*,False,*,*
クレンジング,クレンジング,クレンジング,クレンジング,名詞,普通名詞,一般,*,*,*,False,*,*
バーム,バーム,バーム,バーム,名詞,普通名詞,一般,*,*,*,False,*,*
NEW,ニュー,ニュー,New,名詞,普通名詞,一般,*,*,*,False,*,*
数量限定,数量限定,スウリョウゲンテイ,数量限定,名詞,固有名詞,一般,*,*,*,False,数量-限定,数量-限定
ネイル,ネイル,ネイル,ネイル,名詞,普通名詞,一般,*,*,*,False,*,*
ポリッシュ,ポリッシュ,ポリッシュ,ポリッシュ,名詞,普通名詞,一般,*,*,*,False,*,*
NEW,ニュー,ニュー,New,名詞,普通名詞,一般,*,*,*,False,*,*
キャンペーン,キャンペーン,キャンペーン,キャンペーン,名詞,普通名詞,一般,*,*,*,False,*,*
新商品,新商品,シンショウヒン,新商品,名詞,普通名詞,一般,*,*,*,False,*,新-商品
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
特集,特集,トクシュウ,特集,名詞,普通名詞,サ変可能,*,*,*,False,*,*
キャンペーン,キャンペーン,キャンペーン,キャンペーン,名詞,普通名詞,一般,*,*,*,False,*,*
キャンペーン,キャンペーン,キャンペーン,キャンペーン,名詞,普通名詞,一般,*,*,*,False,*,*
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
特集,特集,トクシュウ,特集,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ブランド,ブランド,ブランド,ブランド,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
シリーズ,シリーズ,シリーズ,シリーズ,名詞,普通名詞,一般,*,*,*,False,*,*
初期,初期,ショキ,初期,名詞,普通名詞,一般,*,*,*,False,*,*
エイジングケア,エイジングケア,エイジングケア,エイジングケア,名詞,普通名詞,一般,*,*,*,False,エイジング-ケア,エイジング-ケア
*,*,キゴウ,*,補助記号,一般,*,*,*,*,False,*,*
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*
オルビスユー,オルビスユー,オルビスユー,オルビスユー,名詞,普通名詞,一般,*,*,*,False,*,*
スキンケア,スキンケア,スキンケア,スキンケア,名詞,普通名詞,一般,*,*,*,False,*,*
スペシャルケア,スペシャルケア,スペシャルケア,スペシャルケア,名詞,普通名詞,一般,*,*,*,False,*,*
メイク,メーク,メイク,メイク,名詞,普通名詞,サ変可能,*,*,*,False,*,*
最高峰,最高峰,サイコウホウ,最高峰,名詞,普通名詞,一般,*,*,*,False,*,最高-峰
*,*,キゴウ,*,補助記号,一般,*,*,*,*,False,*,*
2,2,ニ,2,名詞,数詞,*,*,*,*,False,*,*
エイジングケア,エイジングケア,エイジングケア,エイジングケア,名詞,普通名詞,一般,*,*,*,False,エイジング-ケア,エイジング-ケア
*,*,キゴウ,*,補助記号,一般,*,*,*,*,False,*,*
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*
オルビスユー,オルビスユー,オルビスユー,オルビスユー,名詞,普通名詞,一般,*,*,*,False,*,*
ドット,ドット,ドット,ドット,名詞,普通名詞,一般,*,*,*,False,*,*
