Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
取扱い,取り扱い,トリアツカイ,取扱い,名詞,普通名詞,一般,*,*,*,False,*,*
方針,方針,ホウシン,方針,名詞,普通名詞,一般,*,*,*,False,*,*
-,-,-,-,補助記号,一般,*,*,*,*,False,*,*
名古屋テレビ,名古屋テレビ,ナゴヤテレビ,名古屋テレビ,名詞,固有名詞,一般,*,*,*,False,名古屋-テレビ,名古屋-テレビ
【,【,キゴウ,【,補助記号,括弧開,*,*,*,*,False,*,*
メ～テレ,メ~テレ,メーテレ,メ~テレ,名詞,固有名詞,一般,*,*,*,False,*,*
】,】,キゴウ,】,補助記号,括弧閉,*,*,*,*,False,*,*
番組表,番組表,バングミヒョウ,番組表,名詞,固有名詞,一般,*,*,*,False,番組-表,番組-表
アナウンサー,アナウンサー,アナウンサー,アナウンサー,名詞,普通名詞,一般,*,*,*,False,*,*
×,×,キゴウ,×,補助記号,一般,*,*,*,*,False,*,*
閉じる,閉じる,トジル,閉じる,動詞,一般,*,*,上一段-ザ行,終止形-一般,False,*,*
ニュース,ニュース,ニュース,ニュース,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
情報,情報,ジョウホウ,情報,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
暮らし,暮らし,クラシ,暮らし,名詞,普通名詞,一般,*,*,*,False,*,*
バラエティ,バラエティー,バラエティ,バラエティ,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
音楽,音楽,オンガク,音楽,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
旅,旅,タビ,旅,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ドラマ,ドラマ,ドラマ,ドラマ,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
映画,映画,エイガ,映画,名詞,普通名詞,一般,*,*,*,False,*,*
アニメ,アニメ,アニメ,アニメ,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
ヒーロー,ヒーロー,ヒーロー,ヒーロー,名詞,普通名詞,一般,*,*,*,False,*,*
スポーツ,スポーツ,スポーツ,スポーツ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
アナウンサー,アナウンサー,アナウンサー,アナウンサー,名詞,普通名詞,一般,*,*,*,False,*,*
ウルフィ,ウルフィ,ウルフィ,ウルフィ,名詞,普通名詞,一般,*,*,*,True,*,*
映画,映画,エイガ,映画,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
試写会,試写会,シシャカイ,試写会,名詞,普通名詞,一般,*,*,*,False,*,試写-会
イベント,イベント,イベント,イベント,名詞,普通名詞,一般,*,*,*,False,*,*
ウルフィ,ウルフィ,ウルフィ,ウルフィ,名詞,普通名詞,一般,*,*,*,True,*,*
星座占い,星座占い,セイザウラナイ,星座占い,名詞,固有名詞,一般,*,*,*,False,星座-占い,星座-占い
募集,募集,ボシュウ,募集,名詞,普通名詞,サ変可能,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
プレゼント,プレゼント,プレゼント,プレゼント,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ニュース,ニュース,ニュース,ニュース,名詞,普通名詞,一般,*,*,*,False,*,*
天気,天気,テンキ,天気,名詞,普通名詞,一般,*,*,*,False,*,*
SNS,SNS,エスエヌエス,SNS,名詞,普通名詞,一般,*,*,*,False,*,*
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
採用情報,採用情報,サイヨウジョウホウ,採用情報,名詞,固有名詞,一般,*,*,*,False,採用-情報,採用-情報
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
問い合わせ,問い合わせ,トイアワセ,問い合わせ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ニュース,ニュース,ニュース,ニュース,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
情報,情報,ジョウホウ,情報,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
暮らし,暮らし,クラシ,暮らし,名詞,普通名詞,一般,*,*,*,False,*,*
バラエティ,バラエティー,バラエティ,バラエティ,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
音楽,音楽,オンガク,音楽,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
旅,旅,タビ,旅,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ドラマ,ドラマ,ドラマ,ドラマ,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
映画,映画,エイガ,映画,名詞,普通名詞,一般,*,*,*,False,*,*
アニメ,アニメ,アニメ,アニメ,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
ヒーロー,ヒーロー,ヒーロー,ヒーロー,名詞,普通名詞,一般,*,*,*,False,*,*
スポーツ,スポーツ,スポーツ,スポーツ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
アナウンサー,アナウンサー,アナウンサー,アナウンサー,名詞,普通名詞,一般,*,*,*,False,*,*
ウルフィ,ウルフィ,ウルフィ,ウルフィ,名詞,普通名詞,一般,*,*,*,True,*,*
映画,映画,エイガ,映画,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
試写会,試写会,シシャカイ,試写会,名詞,普通名詞,一般,*,*,*,False,*,試写-会
イベント,イベント,イベント,イベント,名詞,普通名詞,一般,*,*,*,False,*,*
ウルフィ,ウルフィ,ウルフィ,ウルフィ,名詞,普通名詞,一般,*,*,*,True,*,*
星座占い,星座占い,セイザウラナイ,星座占い,名詞,固有名詞,一般,*,*,*,False,星座-占い,星座-占い
募集,募集,ボシュウ,募集,名詞,普通名詞,サ変可能,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
プレゼント,プレゼント,プレゼント,プレゼント,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ニュース,ニュース,ニュース,ニュース,名詞,普通名詞,一般,*,*,*,False,*,*
天気,天気,テンキ,天気,名詞,普通名詞,一般,*,*,*,False,*,*
SNS,SNS,エスエヌエス,SNS,名詞,普通名詞,一般,*,*,*,False,*,*
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
採用情報,採用情報,サイヨウジョウホウ,採用情報,名詞,固有名詞,一般,*,*,*,False,採用-情報,採用-情報
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
問い合わせ,問い合わせ,トイアワセ,問い合わせ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
メ～テレ,メ~テレ,メーテレ,メ~テレ,名詞,固有名詞,一般,*,*,*,False,*,*
トップ,トップ,トップ,トップ,名詞,普通名詞,一般,*,*,*,False,*,*
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
取扱い,取り扱い,トリアツカイ,取扱い,名詞,普通名詞,一般,*,*,*,False,*,*
方針,方針,ホウシン,方針,名詞,普通名詞,一般,*,*,*,False,*,*
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
取扱い,取り扱い,トリアツカイ,取扱い,名詞,普通名詞,一般,*,*,*,False,*,*
方針,方針,ホウシン,方針,名詞,普通名詞,一般,*,*,*,False,*,*
