surface,normalized,dictionary,POS
网络安全,网络安全,网络安全,nz
-,-,-,x
汇丰银行,汇丰银行,汇丰银行,nt
网上银行,网上银行,网上银行,nt
安全措施,安全措施,安全措施,nr
 , , ,x
|,|,|,x
 , , ,x
汇丰,汇丰,汇丰,nz
中国,中国,中国,ns
官网,官网,官网,n
 , , ,x
提升,提升,提升,v
浏览,浏览,浏览,v
体验,体验,体验,n
请,请,请,v
 , , ,x
升级,升级,升级,vn
浏览器,浏览器,浏览器,n
 , , ,x
跳,跳,跳,v
页面,页面,页面,n
导航,导航,导航,v
栏,栏,栏,n
 , , ,x
银行,银行,银行,n
 , , ,x
小企业,小企业,小企业,n
银行,银行,银行,n
 , , ,x
商业,商业,商业,n
理财,理财,理财,v
 , , ,x
环球,环球,环球,n
银行,银行,银行,n
资本,资本,资本,n
市场,市场,市场,n
 , , ,x
环球,环球,环球,n
私人,私人,私人,n
银行,银行,银行,n
 , , ,x
村镇,村镇,村镇,n
银行,银行,银行,n
 , , ,x
选择,选择,选择,v
语言,语言,语言,n
 , , ,x
简体,简体,简体,a
 , , ,x
已,已,已,d
选择,选择,选择,v
 , , ,x
简体,简体,简体,a
 , , ,x
English,english,English,eng
 , , ,x
登录,登录,登录,v
 , , ,x
登出,登出,登出,v
 , , ,x
网上银行,网上银行,网上银行,nt
 , , ,x
汇丰,汇丰,汇丰,nz
财资网,财资网,财资网,n
 , , ,x
私人,私人,私人,n
银行业务,银行业务,银行业务,n
 , , ,x
注册,注册,注册,v
网上银行,网上银行,网上银行,nt
 , , ,x
银行,银行,银行,n
服务,服务,服务,vn
 , , ,x
账户,账户,账户,n
借记卡,借记卡,借记卡,n
 , , ,x
银行,银行,银行,n
账户,账户,账户,n
服务,服务,服务,vn
 , , ,x
汇丰,汇丰,汇丰,nz
环球,环球,环球,n
私人,私人,私人,n
银行,银行,银行,n
 , , ,x
汇丰,汇丰,汇丰,nz
卓越,卓越,卓越,nr
理财,理财,理财,v
 , , ,x
汇丰,汇丰,汇丰,nz
运筹,运筹,运筹,v
理财,理财,理财,v
 , , ,x
汇丰,汇丰,汇丰,nz
易存,易存,易存,nr
II,ii,II,eng
类,类,类,q
账户,账户,账户,n
 , , ,x
公司,公司,公司,n
雇员,雇员,雇员,n
专享,专享,专享,v
计划,计划,计划,n
 , , ,x
探索,探索,探索,v
公司,公司,公司,n
雇员,雇员,雇员,n
专享,专享,专享,v
计划,计划,计划,n
 , , ,x
智能,智能,智能,n
开户,开户,开户,n
预约,预约,预约,v
 , , ,x
智能,智能,智能,n
开户,开户,开户,n
预约,预约,预约,v
指引,指引,指引,v
 , , ,x
借记卡,借记卡,借记卡,n
 , , ,x
卓越,卓越,卓越,nr
理财,理财,理财,v
借记卡,借记卡,借记卡,n
 , , ,x
运筹,运筹,运筹,v
理财,理财,理财,v
借记卡,借记卡,借记卡,n
 , , ,x
查看,查看,查看,v
 , , ,x
存款,存款,存款,n
 , , ,x
人民币,人民币,人民币,n
存款,存款,存款,n
 , , ,x
外币存款,外币存款,外币存款,n
 , , ,x
存款,存款,存款,n
服务,服务,服务,vn
 , , ,x
存款,存款,存款,n
利率,利率,利率,n
 , , ,x
查看,查看,查看,v
 , , ,x
外汇,外汇,外汇,n
相关,相关,相关,v
服务,服务,服务,vn
 , , ,x
外汇,外汇,外汇,n
汇率,汇率,汇率,n
 , , ,x
探索,探索,探索,v
外汇,外汇,外汇,n
相关,相关,相关,v
服务,服务,服务,vn
 , , ,x
汇丰,汇丰,汇丰,nz
致,致,致,v
花旗,花旗,花旗,nr
转让,转让,转让,v
客户,客户,客户,n
