surface,normalized,dictionary,POS
智联,智联,智联,ns
招聘网,招聘网,招聘网,n
-,-,-,x
智联,智联,智联,ns
招聘,招聘,招聘,v
权限,权限,权限,n
功能,功能,功能,n
列表,列表,列表,n
 , , ,x
法律,法律,法律,n
协议,协议,协议,n
 , , ,x
用户服务,用户服务,用户服务,n
协议,协议,协议,n
 , , ,x
用户,用户,用户,n
行为规范,行为规范,行为规范,l
 , , ,x
隐私,隐私,隐私,b
政策,政策,政策,n
摘要,摘要,摘要,v
 , , ,x
隐私,隐私,隐私,b
政策,政策,政策,n
 , , ,x
法律,法律,法律,n
声明,声明,声明,n
 , , ,x
直播,直播,直播,vn
隐私,隐私,隐私,b
保护,保护,保护,v
声明,声明,声明,n
 , , ,x
直播,直播,直播,vn
协议,协议,协议,n
招聘,招聘,招聘,v
方,方,方,n
 , , ,x
智联,智联,智联,ns
招聘,招聘,招聘,v
社招,社招,社招,n
板块,板块,板块,n
直播,直播,直播,vn
协议,协议,协议,n
 , , ,x
岗位,岗位,岗位,n
代招,代招,代招,n
服务,服务,服务,vn
协议,协议,协议,n
 , , ,x
第三方,第三方,第三方,m
共享,共享,共享,v
个人信息,个人信息,个人信息,n
清单,清单,清单,a
 , , ,x
智联,智联,智联,ns
招聘,招聘,招聘,v
权限,权限,权限,n
功能,功能,功能,n
列表,列表,列表,n
 , , ,x
智联,智联,智联,ns
卓聘,卓聘,卓聘,nr
第三方,第三方,第三方,m
共享,共享,共享,v
个人信息,个人信息,个人信息,n
清单,清单,清单,a
 , , ,x
智联,智联,智联,ns
卓聘,卓聘,卓聘,nr
权限,权限,权限,n
功能,功能,功能,n
列表,列表,列表,n
 , , ,x
智联,智联,智联,ns
招聘,招聘,招聘,v
信息,信息,信息,n
发布,发布,发布,v
规则,规则,规则,n
 , , ,x
智联,智联,智联,ns
招聘,招聘,招聘,v
账号,账号,账号,n
注销,注销,注销,v
须知,须知,须知,nr
 , , ,x
算法,算法,算法,n
备案,备案,备案,n
信息,信息,信息,n
 , , ,x
智联,智联,智联,ns
招聘,招聘,招聘,v
推荐,推荐,推荐,v
算法,算法,算法,n
原理,原理,原理,n
 , , ,x
个人信息,个人信息,个人信息,n
收集,收集,收集,v
清单,清单,清单,a
 , , ,x
职,职,职,n
Q,q,Q,eng
社区,社区,社区,n
规范,规范,规范,n
 , , ,x
职,职,职,n
Q,q,Q,eng
板块,板块,板块,n
直播,直播,直播,vn
协议,协议,协议,n
 , , ,x
职,职,职,n
Q,q,Q,eng
板块,板块,板块,n
直播,直播,直播,vn
隐私,隐私,隐私,b
保护,保护,保护,v
声明,声明,声明,n
 , , ,x
登录,登录,登录,v
政策,政策,政策,n
 , , ,x
招聘,招聘,招聘,v
助手,助手,助手,n
用户,用户,用户,n
须知,须知,须知,nr
 , , ,x
求职,求职,求职,v
助手,助手,助手,n
服务,服务,服务,vn
协议,协议,协议,n
 , , ,x
内测,内测,内测,v
声明,声明,声明,n
 , , ,x
附件,附件,附件,n
2.1,2.1,2.1,m
智联,智联,智联,ns
招聘,招聘,招聘,v
权限,权限,权限,n
功能,功能,功能,n
列表,列表,列表,n
 , , ,x
下载,下载,下载,v
 , , ,x
1,1,1,x
 , , ,x
Android,android,Android,eng
 , , ,x
涉及,涉及,涉及,v
个人信息,个人信息,个人信息,n
权限,权限,权限,n
列表,列表,列表,n
 , , ,x
设备,设备,设备,vn
权限,权限,权限,n
 , , ,x
目的,目的,目的,n
 , , ,x
收集,收集,收集,v
个人信息,个人信息,个人信息,n
类型,类型,类型,n
 , , ,x
调用,调用,调用,vn
权限,权限,权限,n
第三方,第三方,第三方,m
 , , ,x
询问,询问,询问,v
 , , ,x
拒绝,拒绝,拒绝,v
授权,授权,授权,v
后果,后果,后果,n
 , , ,x
可否,可否,可否,v
关闭,关闭,关闭,v
 , , ,x
位置,位置,位置,v
 , , ,x
应聘者,应聘者,应聘者,n
用户,用户,用户,n
同意,同意,同意,d
开启,开启,开启,v
此项,此项,此项,r
权限,权限,权限,n
后,后,后,f
会,会,会,v
调用,调用,调用,vn
设备,设备,设备,vn
上,上,上,f
定位,定位,定位,n
权限,权限,权限,n
用于,用于,用于,v
查看,查看,查看,v
招聘,招聘,招聘,v
企业,企业,企业,n
地理位置,地理位置,地理位置,n
推荐,推荐,推荐,v
离求,离求,离求,v
职位,职位,职位,n
招聘者,招聘者,招聘者,n
用户,用户,用户,n
同意,同意,同意,d
开启,开启,开启,v
此项,此项,此项,r
权限,权限,权限,n
后,后,后,f
会,会,会,v
调用,调用,调用,vn
