domain,privacy_link,hash,init_language,valid_language,text_content,rank
qq.com,https://privacy.qq.com/,cdc6930ad27600bdc36e94fda2b70230b322c626864b621350132c7c3bbfce2b,China,,,65
qq.com,https://legal.gmw.cn/2024-06/26/content_37401033.htm,eb9ddd1182a071ef0c2f7d54fe3fd2b8ff0acf64d994b9d31dba917d1f158503,China,,,65
qq.com,https://privacy.qq.com/,cdc6930ad27600bdc36e94fda2b70230b322c626864b621350132c7c3bbfce2b,China,,,65
qq.com,https://legal.gmw.cn/2024-06/26/content_37401033.htm,eb9ddd1182a071ef0c2f7d54fe3fd2b8ff0acf64d994b9d31dba917d1f158503,China,,,65
bilibili.com,https://new.qq.com/sv1/agreement/jubaoxuzhi.html,aac6ba34e1e6bf8c653d06da31c132dafdb06ee496a92f60a179a70ad9dffc4f,China,,,317
bilibili.com,https://new.qq.com/sv1/agreement/jubaoxuzhi.html,aac6ba34e1e6bf8c653d06da31c132dafdb06ee496a92f60a179a70ad9dffc4f,China,,,317
bilibili.com,https://legal.gmw.cn/,b060441d0facf72b5b8d21b241a9a4142da662d9c785f42448876f0d48550bcb,China,,,317
bilibili.com,https://legal.gmw.cn/,b060441d0facf72b5b8d21b241a9a4142da662d9c785f42448876f0d48550bcb,China,,,317
360.cn,https://west.cn/services/domain/security-lock/,ec42f7e490ecdead3f1990ecace1c6b32a8eb945fbd0a47b50c9257605b2b989,China,,,1397
360.cn,https://west.cn/services/domain/security-lock/,ec42f7e490ecdead3f1990ecace1c6b32a8eb945fbd0a47b50c9257605b2b989,China,,,1397
alipay.com,https://privacy.qq.com/,cdc6930ad27600bdc36e94fda2b70230b322c626864b621350132c7c3bbfce2b,China,,,1925
alipay.com,https://privacy.qq.com/,cdc6930ad27600bdc36e94fda2b70230b322c626864b621350132c7c3bbfce2b,China,,,1925
douban.com,https://accounts.growingio.com/privacy,b9a289618557f82140f9c3b2f28438a48639754251b34565230cf5d82e5927c4,China,,,2241
douban.com,https://ixunshu.net/static/privacy.txt,87be61283a329004a0b7ec5efa38f92bec5185c6826896b1f5cc9f9cbf6ae469,China,,,2241
douban.com,https://ixunshu.net/static/privacy.txt,87be61283a329004a0b7ec5efa38f92bec5185c6826896b1f5cc9f9cbf6ae469,China,,,2241
douban.com,https://accounts.growingio.com/privacy,b9a289618557f82140f9c3b2f28438a48639754251b34565230cf5d82e5927c4,China,,,2241
douban.com,https://www.douban.com/about/legal,43a46e67b8df5d27d0373195e7285caddf804ef2252f13f3e1cbb45d69c13d4a,China,,,2241
douban.com,https://www.douban.com/about/legal,43a46e67b8df5d27d0373195e7285caddf804ef2252f13f3e1cbb45d69c13d4a,China,,,2241
zuimeitianqi.com,https://new.qq.com/sv1/agreement/jubaoxuzhi.html,aac6ba34e1e6bf8c653d06da31c132dafdb06ee496a92f60a179a70ad9dffc4f,China,,,2960
zuimeitianqi.com,https://new.qq.com/sv1/agreement/jubaoxuzhi.html,aac6ba34e1e6bf8c653d06da31c132dafdb06ee496a92f60a179a70ad9dffc4f,China,,,2960
chinanews.com,https://www.cainiao.com/cn-pc-policy.html,4090dbc3d48ac219b0b3682fe8a410152616cb43c22653c49342f0d7515de4f1,China,,,3788
chinanews.com,https://www.cainiao.com/cn-pc-policy.html,4090dbc3d48ac219b0b3682fe8a410152616cb43c22653c49342f0d7515de4f1,China,,,3788
lenovomm.com,http://security.360.cn/,9f0f1a70444e653fb5c23d63a683dc6d5ddb2d042af84ca8727af6d4b4a0aa93,China,,,3805
lenovomm.com,https://new.qq.com/sv1/agreement/jubaoxuzhi.html,aac6ba34e1e6bf8c653d06da31c132dafdb06ee496a92f60a179a70ad9dffc4f,China,,,3805
lenovomm.com,https://getui.com/privacy,7b4b3e2c91896ebe2817d23612693c7b2ebcef97b85a2e1f6290dd98de39e689,China,,,3805
lenovomm.com,https://getui.com/privacy,7b4b3e2c91896ebe2817d23612693c7b2ebcef97b85a2e1f6290dd98de39e689,China,,,3805
lenovomm.com,https://new.qq.com/sv1/agreement/jubaoxuzhi.html,aac6ba34e1e6bf8c653d06da31c132dafdb06ee496a92f60a179a70ad9dffc4f,China,,,3805
lenovomm.com,http://security.360.cn/,9f0f1a70444e653fb5c23d63a683dc6d5ddb2d042af84ca8727af6d4b4a0aa93,China,,,3805
eastmoney.com,https://voachinese.com/a/how-the-candidates-see-top-foreign-policy-issues-20240625/7670103.html,8a9606ffb6db96a0188c04dc45282f3c5befb6aa8c33cc920aac172dcf73ab64,China,,,3904
eastmoney.com,http://about.eastmoney.com/home/legal,2d3cb33adf3bc0b0c4b99bb9e942a47b89ead1b9ac7de11c750a99f90d1143c2,China,,,3904
eastmoney.com,https://voachinese.com/a/how-the-candidates-see-top-foreign-policy-issues-20240625/7670103.html,8a9606ffb6db96a0188c04dc45282f3c5befb6aa8c33cc920aac172dcf73ab64,China,,,3904
eastmoney.com,http://about.eastmoney.com/home/legal,2d3cb33adf3bc0b0c4b99bb9e942a47b89ead1b9ac7de11c750a99f90d1143c2,China,,,3904
etoote.com,https://www.douban.com/about/legal,43a46e67b8df5d27d0373195e7285caddf804ef2252f13f3e1cbb45d69c13d4a,China,,,4418
etoote.com,https://privacy.qq.com/,cdc6930ad27600bdc36e94fda2b70230b322c626864b621350132c7c3bbfce2b,China,,,4418
etoote.com,https://www.douban.com/about/legal,43a46e67b8df5d27d0373195e7285caddf804ef2252f13f3e1cbb45d69c13d4a,China,,,4418
etoote.com,https://privacy.qq.com/,cdc6930ad27600bdc36e94fda2b70230b322c626864b621350132c7c3bbfce2b,China,,,4418
west.cn,https://accounts.growingio.com/user-privacy,2b8936ff514d5697513e0130a33520c6e63c469f85941ca876f24e76fe1de4ca,China,,,4980
west.cn,https://accounts.growingio.com/user-privacy,2b8936ff514d5697513e0130a33520c6e63c469f85941ca876f24e76fe1de4ca,China,,,4980
cntv.cn,https://getui.com/privacy,7b4b3e2c91896ebe2817d23612693c7b2ebcef97b85a2e1f6290dd98de39e689,China,,,5026
cntv.cn,http://weishi.360.cn/top_security/,d2f313a2d4e4c645f7b5023e5a72a51050c8599c75b22ddf0eb018cc85be3f61,China,,,5026
cntv.cn,https://securitycenter.alipay.com/cert/manage.htm,f5a7b9725c33d55a78e2a33ae7b4940b7427b839eabb0b819c9acc3c8abb7f9a,China,,,5026
cntv.cn,https://securitycenter.alipay.com/cert/manage.htm,f5a7b9725c33d55a78e2a33ae7b4940b7427b839eabb0b819c9acc3c8abb7f9a,China,,,5026
