surface,normalized,dictionary,pos
시,시,시,Modifier
코,코,코,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
광고,광고,광고,Noun
문의,문의,문의,Noun
email,email,email,Alpha
protected,protected,protected,Alpha
일주일,일주일,일주일,Noun
열지,열지,열다,Verb
않기,않기,않다,Verb
다크,다크,다크,Noun
모드,모드,모드,Noun
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
홈,홈,홈,Noun
최신,최신,최신,Noun
글,글,글,Noun
주간,주간,주간,Noun
인기,인기,인기,Noun
글,글,글,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
반자유,반자유,반자유,Noun
익명,익명,익명,Noun
구인,구인,구인,Noun
구직,구직,구직,Noun
소설,소설,소설,Noun
툰,툰,툰,Noun
짤,짤,짤,Noun
창작,창작,창작,Noun
외부,외부,외부,Noun
자료,자료,자료,Noun
시씨,시씨,시씨,Noun
대학,대학,대학,Noun
정조대,정조대,정조대,Noun
정신,정신,정신,Noun
교육,교육,교육,Noun
시씨,시씨,시씨,Noun
즘,즘,즘,Noun
패션,패션,패션,Noun
미용,미용,미용,Noun
시씨,시씨,시씨,Noun
용품,용품,용품,Noun
정조대,정조대,정조대,Noun
시씨,시씨,시씨,Noun
즘,즘,즘,Noun
패션,패션,패션,Noun
미용,미용,미용,Noun
유저,유저,유저,Noun
공간,공간,공간,Noun
시씨,시씨,시씨,Noun
반,반,반,Modifier
성문,성문,성문,Noun
매력,매력,매력,Noun
어필,어필,어필,Noun
소개,소개,소개,Noun
회원,회원,회원,Noun
외침,외침,외침,Noun
공지,공지,공지,Noun
문의,문의,문의,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
문의,문의,문의,Noun
상담,상담,상담,Noun
등업,등업,등업,Noun
조건,조건,조건,Noun
FAQ,FAQ,FAQ,Alpha
개발,개발,개발,Noun
노트,노트,노트,Noun
전체,전체,전체,Noun
메뉴,메뉴,메뉴,Noun
닫기,닫기,닫다,Verb
공지,공지,공지,Noun
사항,사항,사항,Noun
잘,잘,자다,Verb
읽었습니다,읽었습니다,읽다,Verb
ㅎ,ㅎ,ㅎ,KoreanParticle
레딧,레딧,레딧,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
개설,개설,개설,Noun
미성년,미성년,미성년,Noun
제제,제제,제제,Noun
안내,안내,안내,Noun
기능,기능,기능,Noun
회원,회원,회원,Noun
모든,모든,모든,Noun
글,글,글,Noun
캐시,캐시,캐시,Noun
룰,룰,룰,Noun
적용,적용,적용,Noun
페이지,페이지,페이지,Noun
로딩,로딩,로딩,Noun
회원정보,회원정보,회원정보,Noun
파트너,파트너,파트너,Noun
정보,정보,정보,Noun
추가,추가,추가,Noun
늦은,늦은,늦다,Verb
기능,기능,기능,Noun
업데,업데,업데,Noun
푸시,푸시,푸시,Noun
알림,알림,알림,Noun
설정,설정,설정,Noun
기능,기능,기능,Noun
추가,추가,추가,Noun
2021-07,2021-07,2021-07,Number
09,09,09,Number
ver,ver,ver,Alpha
시,시,시,Modifier
코,코,코,Noun
이용,이용,이용,Noun
방법,방법,방법,Noun
닉네임,닉네임,닉네임,Noun
회원,회원,회원,Noun
호출,호출,호출,Noun
할,할,하다,Verb
